;tipoequipamento;modelo;cidade;estabelecimento;custo_km;ml_good_or_bad;recomend_replacement;consensus_count;model_agreement;trend_detected;relationship;performance_reliability;ml_weight_score;description;action_summary;feature_context;target_feature
227;AUTOMÓVEL;STRADA ENDURANCE CS;Maceió;AUTO POSTO COMENDADOR LTDA;0.66;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
228;CAMINHONETE;L 200 TRITON HPE D;RIO BRANCO;JRSA DERIVADO DE PETROLEO LTDA;0.84;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
229;CAMINHÃO;CARGO;São Luís;L S COMERCIO E SERVICOS LTDA;1.13;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
230;VEÍCULO;DUSTER;Barreiros;ANA P PIMENTEL BANDEIRA DE SANTANA - EIRELI;0.73;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
231;VEÍCULO;XRE 300/ 300 ABS;Abreu e Lima;AUTO POSTO DUQUE DE CAXIAS LTDA;0.31;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
232;MOTOCICLETA;CG 125 CARGO/ CARGO KS;Joinville;AUTO POSTO HEMEROCALLIS LTDA;0.22;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
233;MOTOCICLETA;XRE 300;Recife;POSTO DE ABASTECIMENTO IPSEP LTDA;0.23;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
234;CAMINHONETE;MASTER;Rio Branco;A & S DERIVADO DE PETROLEO EIRELI;0.99;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
235;VEÍCULO;DUSTER;Imperatriz;POSTO QUATRO RODAS 7 LTDA;0.75;bad;yes;0;1;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
236;CAMINHÃO;CARGO 816;RIO BRANCO;JRSA DERIVADO DE PETROLEO LTDA;1.38;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
237;PICK UP;STRADA;Recife;POSTO DE ABASTECIMENTO IPSEP LTDA;0.6;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
238;CAMINHONETE;S10 LS;São Luís;L S COMERCIO E SERVICOS LTDA;0.68;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
239;CAMINHONETE;NOVA SAVEIRO RB MBVS;RECIFE;POSTO IBIZA LTDA;0.78;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
240;AUTOMÓVEL;HILUX;IMPERATRIZ;POSTO GOIANO LTDA;1.11;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
241;EQUIPAMENTO;POLO;Recife;POSTO CONCORDE LTDA;0.54;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
242;VAN;JUMPER;Rio Branco;REDE BONS AMIGOS GETULIO VARGAS COM DE PETROLEO LTDA;0.91;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
243;PASSEIO;KWID ZEN;Caruaru;IBEFIL COMBUSTIVEIS LTDA;0.44;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
244;EQUIPAMENTO;TRAILBLAZER LTZ 2.8 CTDI Diesel Aut.;Recife;A C NORTE LTDA;1.01;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
245;CARRO;J3;Salvador;FLAMINGO COM DE COMB LUB SERVIÇOS LTDA;0.53;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
246;CAMINHONETE;L200;São Luís;L S COMERCIO E SERVICOS LTDA;0.69;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
247;EQUIPAMENTO;ARGO;Vitória da Conquista;POSTO LUCIANO LTDA;0.79;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
248;VEÍCULO;DUCATO;Jaboatão dos Guararapes;VILA ESPERANÇA COM DE COMB LTDA;0.79;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
249;LEVE;KICKS;SALVADOR;POSTO LG COMERCIO E SERVICO LTDA;0.49;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
250;MOTOCICLETA;XTZ 150;São João de Meriti;GALOP GASOLINA LUBRIFICANTES E PECAS LTDA;0.21;bad;yes;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
251;EQUIPAMENTO;ARGO;Vitória da Conquista;POSTO LUCIANO LTDA;0.58;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
252;EQUIPAMENTO;HILUX CD L0WM4FD;ALAGOINHAS;TORRES FILHO & CIA. LTDA;0.64;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
253;LEVE;STRADA;Vitória de Santo Antão;SILVA & ROCHA COMBUSTIVEIS LTDA;0.54;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
254;VEÍCULO;Sprinter 412-D Chassi Diesel;BARREIRAS;SABBA COMBUSTIVEIS LTDA;0.87;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
255;PICKUP LEVE;COMPASS;SALVADOR;POSTO TRANSICAO LTDA;0.97;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
256;AUTOMÓVEL;HILUX;São Luís;LIMA PETROLEO LTDA;0.77;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
257;EQUIPAMENTO;CG 160;Itabuna;LOVO DERIVADOS DE PETROLEO LTDA;0.2;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
258;VEÍCULO;Polo Sedan 1.6 Mi Total Flex 8V 4p;Salvador;ALELUIA COMERCIO DE COMBUSTIVEL LTDA;0.58;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
259;PICK UP;STRADA;Maceió;TARGINO E COSTA LTDA;0.48;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
260;VEÍCULO;XRE 300;Recife;POSTO IBIZA LTDA;0.26;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
261;AUTOMOVEL;SAVEIRO CS;CABO DE SANTO AGOSTINHO;POSTO SAO CRISTOVAO LTDA;0.74;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
262;CAMINHÃO TRATOR;Meteor 29.520 6x4 2p (diesel)(E5);Caxias;JOSE SANTANA DE SOUSA;1.75;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
263;MOTOCICLETA;XTZ 250 LANDER 249cc;Rio de Janeiro;POSTO DE ABASTECIMENTO GRANDE AMOR LTDA;0.24;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
264;CAMINHONETE;TRITON;São Mateus do Maranhão;SAO DOMINGOS PETROLEO LTDA;0.76;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
265;MOTOCICLETA;XRE 300/ 300 ABS;RIO DE JANEIRO;POSTO ESTACIO LTDA;0.22;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
266;AUTOMOVEL;YARIS;Ilhéus;DERIVADOS DE PETROLEO LELEU LTDA;0.7;bad;yes;1;2;Inconsistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
267;UTILITÁRIO;SAVEIRO;Marabá;AUTO POSTO IVI LTDA;0.74;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
268;VEÍCULO LEVE;STRADA ENDURENCE CD;Juazeiro;NASCIMENTO E ALEXANDRE LTDA;0.56;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
269;VEÍCULO;DUSTER;Jaboatão dos Guararapes;POSTO FEITOSA LUZ LTDA;0.88;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
270;VEÍCULO LEVE;STRADA ENDURANCE CS;Salvador;SODIC SOCIEDADE REVENDEDORA DE COMBUSTIVEIS LTDA;0.51;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
271;LEVE;Gol (novo) 1.0 Mi Total Flex 8V 4p;SALVADOR;SRS COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA;0.7;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
272;CAMINHONETE;S10;São Luís;L S COMERCIO E SERVICOS LTDA;0.71;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
273;LEVE;SPIN 1.8 L AT PREMIER;Salvador;POSTO INDEPENDENCIA DE LUBRIF. LTDA;0.57;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
274;MOTOCICLETA;XRE 300;RECIFE;SERVICAR S/A;0.26;bad;yes;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
275;AUTOMOVEL;SPIN;Itabuna;FAMA COMERCIO DE COMBUSTIVEIS LTDA;0.55;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
276;BOMBEIRO;KICKS;RECIFE;SERVICAR S/A;0.74;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
277;AUTOMÓVEL;S10;SALVADOR;AUTO POSTO MERIDIONAL LTDA;0.74;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
278;AUTOMOVEL;SPIN 1.8 L AT PREMIER;CABO DE SANTO AGOSTINHO;POSTO SAO CRISTOVAO LTDA;0.7;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
279;ONIBUS;VOLARE W8 ON;Fortaleza;KG COMERCIO E COMBUSTÍVEIS LTDA;1.64;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
280;MOTOCICLETA;XRE 300;Arcoverde;L C F COMBUSTIVEIS LTDA;0.31;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
281;VEÍCULO;ARGO;Surubim;POSTO MARACAJA LTDA;0.5;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
282;BOMBEIRO;XRE 300/ 300 ABS;RECIFE;SERVICAR S/A;0.23;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
283;AUTOMOVEL;Hilux CD 4x4 2.8 Diesel;São Luís;L S COMERCIO E SERVICOS LTDA;0.82;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
284;AUTOMOVEL;CRETA;GARANHUNS;CACULINHA COMBUSTIVEIS LTDA;0.73;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
285;AUTOMÓVEL;HILUX;BACABAL;S. R. DERIVADOS DE PETROLEO LTDA;0.84;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
286;MOTOCICLETA;XRE 300;Recife;ALENCAR E CAVALCANTI COMBUSTIVEIS LTDA;0.28;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
287;PICK UP;S10;Belém;POSTO QUATRO LTDA;0.8;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
288;CAMINHONETE;STRADA ENDURANCE CS;JUAZEIRO;SERVALE PETROLEO LTDA ME;0.87;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
289;AUTOMOVEL;S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut;São Luís;POSTO BEQUIMAO LTDA;0.67;bad;yes;0;1;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
290;EQUIPAMENTO;POLO;Recife;A C NORTE LTDA;0.93;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
291;VEÍCULO;L200 TRITON;Recife;COMERCIAL RECIFE - COMERCIO DE DERIVADOS DE PETROLEO LTDA;0.88;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
292;PICK UP;STRADA;RECIFE;SERVICAR S/A;0.74;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
293;CAMINHÃO;SPRINTER;Cruzeiro do Sul;S & G PETROLEO LTDA;1.06;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
294;CAMINHONETE;RANGER;São Luís;L S COMERCIO E SERVICOS LTDA;0.68;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
295;PICKUP LEVE;SPRINTER;SALVADOR;AUTO POSTO MERIDIONAL LTDA;1.15;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
296;AUTOMÓVEL;SAVEIRO 1.6;Parauapebas;AUTO POSTO SERENO LTDA;0.64;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
297;MICRO ONIBUS;Sprinter 313 CDI;Paço do Lumiar;L S COMERCIO E SERVICOS LTDA;0.78;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
298;AUTOMOVEL;T-Cross;Bacabeira;AGUIAR PETROLEO E LOCACOES LTDA;0.79;bad;yes;1;2;Inconsistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
299;CAMINHONETE;BLAZER;Imperatriz;AUTO POSTO MAX LTDA;1.13;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
300;MOTOCICLETA;XRE 300/ 300 ABS;Rio de Janeiro;POSTO DE GASOLINA DOM PEDRO II LTDA;0.23;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
301;CAMINHONETE;MASTER;Rio Branco;A & S DERIVADO DE PETROLEO EIRELI;0.97;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
302;UTILITARIO;L200;Rio Branco;LIDER AUTO POSTO LTDA;0.89;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
303;CAMINHONETE;AMAROK Highline CD 2.0 16V TDI 4x4 Dies.;Rio Branco;REDE BONS AMIGOS GETULIO VARGAS COM DE PETROLEO LTDA;0.8;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
304;EQUIPAMENTO;SPIN 1.8 L;Jaboatão dos Guararapes;MARIA ALICE CAVALCANTI DE MORAIS EIRELI;0.71;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
305;CAMINHONETE;HILUX;São Luís;L S COMERCIO E SERVICOS LTDA;0.93;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
306;EQUIPAMENTO;SPIN 1.8 L;Jaboatão dos Guararapes;MARIA ALICE CAVALCANTI DE MORAIS EIRELI;0.84;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
307;CAMINHONETE;HILUX;SALGUEIRO;JL COMBUSTÍVEIS E LUBRIFICANTES LDA;0.87;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
308;PICK UP;STRADA;Jaboatão dos Guararapes;ALBUQUERQUE PNEUS LTDA;0.58;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
309;AMBULÂNCIA;MASTER;Cruzeiro do Sul;S & G PETROLEO LTDA;1.05;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
310;AUTOMOVEL;L200;São José de Ribamar;L S COMERCIO E SERVICOS LTDA;0.81;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
311;CAMINHONETE;TRITON 32D;Tarauacá;F. L. J. EMPREENDIMENTOS LTDA;1.32;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
312;CAMINHONETE;RANGER;São Luís;L S COMERCIO E SERVICOS LTDA;0.68;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
313;CAMINHONETE;S10 2.8 4X4;Corumbá de Goiás;EGIDIO ALVES DA SILVA & CIA LTDA;0.76;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
314;BOMBEIRO;XRE 300/ 300 ABS;RECIFE;SERVICAR S/A;0.24;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
