;nota_fiscal_id;status;nome_serv;valor;consensus_count;model_agreement;trend_detected;relationship;performance_reliability;ml_weight_score;description;action_summary;feature_context;target_feature
203;;VALIDO;Gasolina;150.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
204;;VALIDO;Gasolina;171.65;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
205;;VALIDO;Diesel S10;194.01;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
206;;VALIDO;Diesel S10;164.56;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
207;;VALIDO;Gasolina;50.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
208;;VALIDO;Diesel S10;457.21;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
209;;VALIDO;Diesel S10;440.06;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
210;;VALIDO;Etanol;12.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
211;;VALIDO;Diesel S10;210.02;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
212;;VALIDO;Gasolina;35.04;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
213;;VALIDO;Diesel S10;189.51;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
214;131840.0;VALIDO;Gasolina;98.8;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
215;131852.0;VALIDO;Gasolina;123.5;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
216;131856.0;VALIDO;Gasolina;109.67;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
217;;VALIDO;Diesel S10;185.03;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
218;;VALIDO;Gasolina;206.83;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
219;;VALIDO;Diesel S10;476.28;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
220;;VALIDO;Gasolina;39.5;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
221;;VALIDO;Gasolina;148.2;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
222;;VALIDO;Gasolina;32.32;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
223;;VALIDO;Gasolina;173.08;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
224;;VALIDO;Diesel S10;301.31;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
225;;VALIDO;Diesel S10;133.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
226;;VALIDO;Etanol;52.4;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
227;;VALIDO;Gasolina;61.7;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
228;;VALIDO;Gasolina;156.7;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
229;156600.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
230;156580.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
231;156554.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
232;156534.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
233;156518.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
234;156511.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
235;156496.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
236;156476.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
237;;VALIDO;Diesel S10;178.03;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
238;156423.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
239;;VALIDO;Gasolina;222.02;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
240;148104.0;VALIDO;Gasolina;214.39;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
241;;VALIDO;Etanol;130.1;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
242;;VALIDO;Etanol;125.8;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
243;;VALIDO;Diesel S10;200.01;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
244;;VALIDO;Gasolina;185.03;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
245;;VALIDO;Gasolina;63.41;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
246;;VALIDO;Gasolina;151.41;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
247;;VALIDO;Gasolina;137.74;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
248;;VALIDO;Etanol;99.53;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
249;;VALIDO;Diesel S10;156.81;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
250;136534.0;VALIDO;Diesel S10;221.02;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
251;;VALIDO;Diesel S10;416.56;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
252;;VALIDO;Gasolina;165.79;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
253;131859.0;VALIDO;Gasolina;196.07;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
254;;VALIDO;Diesel S10;200.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
255;;VALIDO;Diesel S10;503.54;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
256;;VALIDO;Etanol;54.8;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
257;;VALIDO;Gasolina;10.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
258;;VALIDO;Gasolina;49.04;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
259;;VALIDO;Diesel S10;340.71;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
260;131861.0;VALIDO;Gasolina;197.6;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
261;;VALIDO;Gasolina;35.02;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
262;;VALIDO;Diesel S10;493.47;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
263;;VALIDO;Gasolina;148.2;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
264;;VALIDO;Gasolina;179.94;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
265;;VALIDO;Gasolina;77.33;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
266;;VALIDO;Diesel S10;434.86;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
267;147552.0;VALIDO;Gasolina;226.1;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
268;;VALIDO;Diesel S10;429.8;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
269;;VALIDO;Diesel S10;366.91;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
270;;VALIDO;Diesel S10;432.16;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
271;;VALIDO;Gasolina;176.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
272;131844.0;VALIDO;Gasolina;98.8;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
273;;VALIDO;Diesel S10;189.99;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
274;;VALIDO;Diesel S10;433.34;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
275;;VALIDO;Diesel S10;428.35;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
276;131834.0;VALIDO;Gasolina;198.34;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
277;;VALIDO;Diesel S10;361.21;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
278;;VALIDO;Diesel S10;554.59;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
279;131822.0;VALIDO;Gasolina;217.56;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
280;;VALIDO;Gasolina;136.1;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
281;;VALIDO;Diesel S10;495.84;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
282;;VALIDO;Etanol;121.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
283;;VALIDO;Gasolina;227.29;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
284;129003.0;VALIDO;Gasolina;74.54;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
285;;VALIDO;Etanol;24.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
286;;VALIDO;Gasolina;30.03;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
287;;VALIDO;Diesel S10;100.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
288;;VALIDO;Diesel S10;217.24;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
289;129003.0;VALIDO;Gasolina;74.64;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
290;;VALIDO;Diesel S10;180.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
291;;VALIDO;Gasolina;74.36;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
292;;VALIDO;Gasolina;32.05;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
293;;VALIDO;Diesel S10;262.23;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
294;;VALIDO;Diesel S10;519.17;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
295;;VALIDO;Gasolina;136.1;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
296;118890.0;VALIDO;Gasolina;100.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
297;;VALIDO;Gasolina;180.34;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
298;;VALIDO;Gasolina;165.14;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
299;;VALIDO;Diesel S10;133.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
300;;VALIDO;Diesel S10;239.51;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
301;;VALIDO;Diesel S10;186.47;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
302;;VALIDO;Gasolina;139.24;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
303;;VALIDO;Gasolina;245.19;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
304;;VALIDO;Gasolina;37.18;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
305;;VALIDO;Etanol;80.47;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
306;;VALIDO;Diesel S10;207.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
307;;VALIDO;Gasolina;237.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
308;;VALIDO;Gasolina;151.37;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
309;;VALIDO;Gasolina;46.01;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
310;;VALIDO;Gasolina;237.77;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
311;;VALIDO;Diesel S10;133.91;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
312;;VALIDO;Diesel S10;453.8;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
313;;VALIDO;Gasolina;135.6;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
314;;VALIDO;Gasolina;127.32;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
315;109897.0;VALIDO;Gasolina;204.26;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
316;;VALIDO;Gasolina;198.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
317;;VALIDO;Gasolina;220.04;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
318;;VALIDO;Diesel S10;452.23;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
319;;VALIDO;Diesel S10;389.87;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
320;133663.0;VALIDO;Gasolina;105.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
321;131858.0;VALIDO;Gasolina;203.03;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
322;129003.0;VALIDO;Gasolina;72.03;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
323;;VALIDO;Diesel S10;510.26;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
324;;VALIDO;Diesel S10;602.66;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
325;;VALIDO;Diesel S10;579.5;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
326;190185.0;VALIDO;Gasolina;180.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
327;185225.0;VALIDO;Diesel;198.0;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;nota_fiscal_id-nome_serv;status
